Time(s),NodeID,TxThroughput(bps),RxThroughput(bps),AvgDelay(s),LossRate(%)
28,3,0,0,0,0
28,4,49824,0,0,100
28,5,49824,0,0,100
28,6,8416,0,0,80.9524
28,7,0,0,0,0
28,8,16608,0,0,94.7368
29,0,49824,0,0,72.973
29,1,16608,16608,0.0120882,75
29,2,16608,0,0,81.4815
29,3,0,0,0,0
29,4,0,0,0,0
29,5,0,0,0,0
29,6,8416,0,0,81.8182
29,7,49824,0,0,100
29,8,16608,0,0,95
30,0,8416,8416,0.0331369,71.0526
30,1,49824,0,0,77.7778
30,2,16608,0,0,82.1429
30,3,0,0,0,0
30,4,0,0,0,0
30,5,0,0,0,0
30,6,8416,0,0,82.6087
30,7,0,0,0,0
30,8,0,0,0,0
31,0,8416,8416,0.0361474,69.2308
31,1,16608,16608,0.0151092,75
31,2,16608,0,0,82.7586
31,3,49824,0,0,100
31,4,49824,0,0,100
31,5,0,0,0,0
31,6,8416,0,0,83.3333
31,7,0,0,0,0
31,8,16608,0,0,95.2381
32,0,49824,0,0,71.4286
32,1,0,0,0,0
32,2,16608,0,0,83.3333
32,3,0,0,0,0
32,4,0,0,0,0
32,5,49824,0,0,100
32,6,8416,0,0,84
32,7,0,0,0,0
32,8,16608,0,0,95.4545
33,0,8416,8416,0.0391579,69.7674
33,1,0,0,0,0
33,2,0,0,0,0
33,3,0,0,0,0
33,4,0,0,0,0
33,5,0,0,0,0
33,6,8416,0,0,84.6154
33,7,49824,0,0,100
33,8,16608,0,0,95.6522
34,0,8416,8416,0.0421685,68.1818
34,1,66432,16608,0.0181302,75
34,2,16608,0,0,83.871
34,3,0,0,0,0
34,4,49824,0,0,100
34,5,0,0,0,0
34,6,8416,8416,0.0150527,81.4815
34,7,0,0,0,0
34,8,16608,0,0,95.8333
35,0,49824,0,0,70.2128
35,1,16608,16608,0.0191386,72.7273
35,2,16608,0,0,84.375
35,3,49824,0,0,100
35,4,0,0,0,0
35,5,0,0,0,0
35,6,8416,0,0,82.1429
35,7,0,0,0,0
35,8,16608,0,0,96
36,0,8416,8416,0.045179,68.75
36,1,0,0,0,0
36,2,33216,16608,0.018126,82.3529
36,3,0,0,0,0
