Time(s),NodeID,TxThroughput(bps),RxThroughput(bps),AvgDelay(s),LossRate(%)
115,2,16608,0,0,82.4561
115,3,49824,0,0,100
115,4,49824,0,0,100
115,5,0,0,0,0
115,6,0,0,0,0
115,7,0,0,0,0
115,8,16608,0,0,97.8022
116,0,49824,0,0,75.8389
116,1,0,0,0,0
116,2,33216,16608,0.063441,81.8966
116,3,0,0,0,0
116,4,0,0,0,0
116,5,49824,0,0,100
116,6,8416,0,0,90.099
116,7,0,0,0,0
116,8,16608,0,0,97.8261
117,0,0,0,0,0
117,1,0,0,0,0
117,2,0,0,0,0
117,3,0,0,0,0
117,4,0,0,0,0
117,5,0,0,0,0
117,6,8416,0,0,90.1961
117,7,49824,0,0,100
117,8,16608,0,0,97.8495
118,0,0,0,0,0
118,1,49824,0,0,69.6
118,2,16608,0,0,82.0513
118,3,0,0,0,0
118,4,49824,0,0,100
118,5,0,0,0,0
118,6,8416,0,0,90.2913
118,7,0,0,0,0
118,8,16608,0,0,97.8723
119,0,49824,16608,0.107448,75.6579
119,1,16608,16608,0.0916552,69.0476
119,2,16608,0,0,82.2034
119,3,49824,0,0,100
119,4,0,0,0,0
119,5,0,0,0,0
119,6,8416,0,0,90.3846
119,7,0,0,0,0
119,8,16608,0,0,97.8947
120,0,0,0,0,0
120,1,0,0,0,0
120,2,16608,0,0,82.3529
120,3,0,0,0,0
120,4,0,0,0,0
120,5,49824,0,0,100
120,6,8416,0,0,90.4762
120,7,0,0,0,0
120,8,0,0,0,0
121,0,0,8416,0.110459,0
121,1,0,16608,0.0946762,0
121,2,16608,0,0,82.5
121,3,0,0,0,0
121,4,49824,0,0,100
121,5,0,0,0,0
121,6,8416,0,0,90.566
121,7,49824,0,0,100
121,8,16608,0,0,97.9167
